if_basket_has,then_also_buys,support,confidence,lift
GREEN REGENCY TEACUP AND SAUCER,"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER ",0.02208104129542109,0.43051359516616317,15.099562426113229
"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER ",GREEN REGENCY TEACUP AND SAUCER,0.02208104129542109,0.7744565217391305,15.099562426113229
"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",ROSES REGENCY TEACUP AND SAUCER ,0.02208104129542109,0.800561797752809,14.910319081667398
ROSES REGENCY TEACUP AND SAUCER ,"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",0.02208104129542109,0.41125541125541126,14.910319081667396
ROSES REGENCY TEACUP AND SAUCER ,GREEN REGENCY TEACUP AND SAUCER,0.039629658324939955,0.7380952380952381,14.390627247878005
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER ,0.039629658324939955,0.7726586102719033,14.390627247878003
HAND WARMER SCOTTY DOG DESIGN,HAND WARMER OWL DESIGN,0.025141396141628573,0.6093896713615023,13.230264908768563
HAND WARMER OWL DESIGN,HAND WARMER SCOTTY DOG DESIGN,0.025141396141628573,0.5458368376787216,13.230264908768563
ALARM CLOCK BAKELIKE RED ,ALARM CLOCK BAKELIKE GREEN,0.032385527233284264,0.6285714285714286,13.074893519051455
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED ,0.032385527233284264,0.6736502820306205,13.074893519051455
SPACEBOY LUNCH BOX ,DOLLY GIRL LUNCH BOX,0.03211435655070892,0.6113569321533924,11.919613177196126
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX ,0.03211435655070892,0.6261329305135952,11.919613177196124
PINK BLUE FELT CRAFT TRINKET BOX,PINK CREAM FELT CRAFT TRINKET BOX ,0.025296350817385915,0.5804444444444444,11.025454664377401
PINK CREAM FELT CRAFT TRINKET BOX ,PINK BLUE FELT CRAFT TRINKET BOX,0.025296350817385915,0.48050036791758644,11.025454664377401
SINGLE HEART ZINC T-LIGHT HOLDER,HANGING HEART ZINC T-LIGHT HOLDER,0.0263810335476873,0.6085790884718498,10.614770668792115
