cohort_month,cohort_index,customers,cohort_size,retention_rate
2009-12,0,951,951,1.0
2009-12,1,333,951,0.3501577287066246
2009-12,2,317,951,0.3333333333333333
2009-12,3,404,951,0.42481598317560465
2009-12,4,360,951,0.3785488958990536
2009-12,5,342,951,0.35962145110410093
2009-12,6,358,951,0.3764458464773922
2009-12,7,327,951,0.3438485804416404
2009-12,8,321,951,0.33753943217665616
2009-12,9,344,951,0.3617245005257624
2009-12,10,401,951,0.4216614090431125
2009-12,11,472,951,0.49631966351209256
2009-12,12,358,951,0.3764458464773922
2009-12,13,268,951,0.28180862250262884
2009-12,14,232,951,0.24395373291272346
2009-12,15,288,951,0.3028391167192429
2009-12,16,250,951,0.2628811777076761
2009-12,17,288,951,0.3028391167192429
2009-12,18,270,951,0.28391167192429023
2009-12,19,246,951,0.2586750788643533
2009-12,20,242,951,0.2544689800210305
2009-12,21,298,951,0.31335436382754994
2009-12,22,289,951,0.3038906414300736
2009-12,23,386,951,0.4058885383806519
2009-12,24,187,951,0.19663512092534174
2010-01,0,368,368,1.0
2010-01,1,79,368,0.21467391304347827
2010-01,2,118,368,0.32065217391304346
2010-01,3,116,368,0.31521739130434784
2010-01,4,100,368,0.2717391304347826
2010-01,5,114,368,0.30978260869565216
2010-01,6,99,368,0.26902173913043476
2010-01,7,86,368,0.23369565217391305
2010-01,8,105,368,0.28532608695652173
2010-01,9,120,368,0.32608695652173914
2010-01,10,114,368,0.30978260869565216
2010-01,11,66,368,0.1793478260869565
2010-01,12,84,368,0.22826086956521738
2010-01,13,66,368,0.1793478260869565
2010-01,14,72,368,0.1956521739130435
2010-01,15,56,368,0.15217391304347827
2010-01,16,90,368,0.24456521739130435
2010-01,17,75,368,0.20380434782608695
2010-01,18,71,368,0.19293478260869565
2010-01,19,74,368,0.20108695652173914
2010-01,20,93,368,0.25271739130434784
2010-01,21,73,368,0.1983695652173913
2010-01,22,93,368,0.25271739130434784
2010-01,23,21,368,0.057065217391304345
2010-02,0,375,375,1.0
2010-02,1,88,375,0.23466666666666666
2010-02,2,85,375,0.22666666666666666
2010-02,3,110,375,0.29333333333333333
2010-02,4,92,375,0.24533333333333332
2010-02,5,74,375,0.19733333333333333
2010-02,6,72,375,0.192
2010-02,7,108,375,0.288
2010-02,8,96,375,0.256
2010-02,9,104,375,0.2773333333333333
2010-02,10,43,375,0.11466666666666667
2010-02,11,47,375,0.12533333333333332
2010-02,12,57,375,0.152
2010-02,13,66,375,0.176
2010-02,14,46,375,0.12266666666666666
2010-02,15,75,375,0.2
2010-02,16,60,375,0.16
2010-02,17,61,375,0.16266666666666665
2010-02,18,54,375,0.144
2010-02,19,86,375,0.22933333333333333
2010-02,20,86,375,0.22933333333333333
2010-02,21,62,375,0.16533333333333333
2010-02,22,22,375,0.058666666666666666
2010-03,0,441,441,1.0
2010-03,1,84,441,0.19047619047619047
2010-03,2,102,441,0.23129251700680273
2010-03,3,107,441,0.24263038548752835
2010-03,4,102,441,0.23129251700680273
2010-03,5,90,441,0.20408163265306123
2010-03,6,109,441,0.2471655328798186
2010-03,7,135,441,0.30612244897959184
2010-03,8,122,441,0.2766439909297052
2010-03,9,48,441,0.10884353741496598
2010-03,10,51,441,0.11564625850340136
2010-03,11,64,441,0.14512471655328799
2010-03,12,88,441,0.19954648526077098
2010-03,13,72,441,0.16326530612244897
2010-03,14,88,441,0.19954648526077098
2010-03,15,75,441,0.17006802721088435
2010-03,16,77,441,0.1746031746031746
2010-03,17,69,441,0.1564625850340136
2010-03,18,78,441,0.17687074829931973
2010-03,19,90,441,0.20408163265306123
2010-03,20,94,441,0.21315192743764172
2010-03,21,34,441,0.07709750566893424
2010-04,0,294,294,1.0
2010-04,1,56,294,0.19047619047619047
2010-04,2,56,294,0.19047619047619047
2010-04,3,47,294,0.1598639455782313
2010-04,4,54,294,0.1836734693877551
2010-04,5,65,294,0.22108843537414966
2010-04,6,81,294,0.2755102040816326
2010-04,7,78,294,0.2653061224489796
2010-04,8,31,294,0.1054421768707483
2010-04,9,32,294,0.10884353741496598
2010-04,10,22,294,0.07482993197278912
2010-04,11,41,294,0.13945578231292516
2010-04,12,42,294,0.14285714285714285
2010-04,13,46,294,0.1564625850340136
2010-04,14,46,294,0.1564625850340136
2010-04,15,46,294,0.1564625850340136
2010-04,16,41,294,0.13945578231292516
2010-04,17,44,294,0.14965986394557823
2010-04,18,53,294,0.18027210884353742
2010-04,19,67,294,0.22789115646258504
2010-04,20,17,294,0.05782312925170068
2010-05,0,255,255,1.0
2010-05,1,40,255,0.1568627450980392
2010-05,2,43,255,0.16862745098039217
2010-05,3,45,255,0.17647058823529413
2010-05,4,45,255,0.17647058823529413
2010-05,5,65,255,0.2549019607843137
2010-05,6,54,255,0.21176470588235294
2010-05,7,32,255,0.12549019607843137
2010-05,8,15,255,0.058823529411764705
2010-05,9,21,255,0.08235294117647059
2010-05,10,29,255,0.11372549019607843
2010-05,11,34,255,0.13333333333333333
2010-05,12,39,255,0.15294117647058825
2010-05,13,39,255,0.15294117647058825
2010-05,14,25,255,0.09803921568627451
2010-05,15,32,255,0.12549019607843137
2010-05,16,35,255,0.13725490196078433
2010-05,17,42,255,0.16470588235294117
2010-05,18,39,255,0.15294117647058825
2010-05,19,12,255,0.047058823529411764
2010-06,0,267,267,1.0
2010-06,1,47,267,0.1760299625468165
2010-06,2,50,267,0.18726591760299627
2010-06,3,55,267,0.20599250936329588
2010-06,4,62,267,0.23220973782771537
2010-06,5,76,267,0.2846441947565543
2010-06,6,34,267,0.12734082397003746
2010-06,7,24,267,0.0898876404494382
2010-06,8,22,267,0.08239700374531835
2010-06,9,30,267,0.11235955056179775
2010-06,10,28,267,0.10486891385767791
2010-06,11,37,267,0.13857677902621723
2010-06,12,40,267,0.149812734082397
2010-06,13,33,267,0.12359550561797752
2010-06,14,30,267,0.11235955056179775
2010-06,15,33,267,0.12359550561797752
2010-06,16,35,267,0.13108614232209737
2010-06,17,54,267,0.20224719101123595
2010-06,18,13,267,0.04868913857677903
2010-07,0,185,185,1.0
2010-07,1,29,185,0.15675675675675677
2010-07,2,34,185,0.1837837837837838
2010-07,3,55,185,0.2972972972972973
2010-07,4,54,185,0.2918918918918919
2010-07,5,26,185,0.14054054054054055
2010-07,6,21,185,0.11351351351351352
2010-07,7,27,185,0.14594594594594595
2010-07,8,27,185,0.14594594594594595
2010-07,9,21,185,0.11351351351351352
2010-07,10,25,185,0.13513513513513514
2010-07,11,27,185,0.14594594594594595
2010-07,12,24,185,0.12972972972972974
2010-07,13,25,185,0.13513513513513514
2010-07,14,36,185,0.1945945945945946
2010-07,15,32,185,0.17297297297297298
2010-07,16,44,185,0.23783783783783785
2010-07,17,15,185,0.08108108108108109
2010-08,0,163,163,1.0
2010-08,1,32,163,0.19631901840490798
2010-08,2,47,163,0.2883435582822086
2010-08,3,53,163,0.32515337423312884
2010-08,4,27,163,0.1656441717791411
2010-08,5,19,163,0.1165644171779141
2010-08,6,16,163,0.09815950920245399
2010-08,7,21,163,0.12883435582822086
2010-08,8,22,163,0.13496932515337423
2010-08,9,21,163,0.12883435582822086
2010-08,10,21,163,0.12883435582822086
2010-08,11,19,163,0.1165644171779141
2010-08,12,24,163,0.147239263803681
2010-08,13,28,163,0.17177914110429449
2010-08,14,28,163,0.17177914110429449
2010-08,15,32,163,0.19631901840490798
2010-08,16,12,163,0.0736196319018405
2010-09,0,239,239,1.0
2010-09,1,55,239,0.2301255230125523
2010-09,2,56,239,0.23430962343096234
2010-09,3,31,239,0.1297071129707113
2010-09,4,21,239,0.08786610878661087
2010-09,5,25,239,0.10460251046025104
2010-09,6,33,239,0.13807531380753138
2010-09,7,23,239,0.09623430962343096
2010-09,8,31,239,0.1297071129707113
2010-09,9,31,239,0.1297071129707113
2010-09,10,29,239,0.12133891213389121
2010-09,11,24,239,0.100418410041841
2010-09,12,54,239,0.22594142259414227
2010-09,13,40,239,0.16736401673640167
2010-09,14,40,239,0.16736401673640167
2010-09,15,13,239,0.05439330543933055
2010-10,0,375,375,1.0
2010-10,1,97,375,0.25866666666666666
2010-10,2,55,375,0.14666666666666667
2010-10,3,47,375,0.12533333333333332
2010-10,4,33,375,0.088
2010-10,5,31,375,0.08266666666666667
2010-10,6,49,375,0.13066666666666665
2010-10,7,52,375,0.13866666666666666
2010-10,8,40,375,0.10666666666666667
2010-10,9,35,375,0.09333333333333334
2010-10,10,40,375,0.10666666666666667
2010-10,11,48,375,0.128
2010-10,12,72,375,0.192
