country,region,revenue,orders
United Kingdom,UK,16801019.37,36184
EIRE,Non-UK,623414.16,581
Netherlands,Non-UK,549773.41,216
Germany,Non-UK,383289.0,753
France,Non-UK,311090.29,598
Australia,Non-UK,167800.01,89
Spain,Non-UK,97766.75,144
Switzerland,Non-UK,94024.59,85
Sweden,Non-UK,86319.14,99
Denmark,Non-UK,67422.69,42
Belgium,Non-UK,56993.17,143
Portugal,Non-UK,47338.270000000004,85
Channel Islands,Non-UK,44030.33,54
Japan,Non-UK,43023.909999999996,33
Norway,Non-UK,38575.36,39
Italy,Non-UK,28937.5,59
Finland,Non-UK,25180.1,54
Cyprus,Non-UK,24484.26,35
Austria,Non-UK,20297.010000000002,40
Greece,Non-UK,18711.19,18
Hong Kong,Non-UK,13666.45,9
Singapore,Non-UK,13158.16,8
Israel,Non-UK,11328.81,10
Unspecified,Non-UK,10927.16,24
United Arab Emirates,Non-UK,10273.23,12
Poland,Non-UK,10214.29,28
USA,Non-UK,7920.01,16
Iceland,Non-UK,4921.53,8
Lithuania,Non-UK,4892.68,6
Malta,Non-UK,4757.34,7
Canada,Non-UK,4332.1,7
RSA,Non-UK,3369.03,3
Bahrain,Non-UK,3109.79,10
Thailand,Non-UK,3070.54,2
Lebanon,Non-UK,1905.58,2
Brazil,Non-UK,1411.87,2
Bermuda,Non-UK,1253.1399999999999,1
European Community,Non-UK,1159.25,3
Korea,Non-UK,1118.51,2
Czech Republic,Non-UK,786.74,2
West Indies,Non-UK,536.41,1
Saudi Arabia,Non-UK,145.92,1
Nigeria,Non-UK,112.57000000000001,1
