month,revenue,orders
2009-12,797901.16,1666
2010-01,612297.42,1049
2010-02,537909.67,1189
2010-03,761705.98,1647
2010-04,646340.93,1435
2010-05,643492.03,1484
2010-06,696583.19,1612
2010-07,632994.32,1507
2010-08,674037.72,1402
2010-09,869243.12,1789
2010-10,1094435.98,2244
2010-11,1429700.78,2719
2010-12,775638.36,1550
2011-01,670380.24,1081
2011-02,507799.87,1093
2011-03,689833.51,1440
2011-04,515377.99,1235
2011-05,739953.0,1668
2011-06,737558.98,1525
2011-07,688219.34,1452
2011-08,724216.5,1339
2011-09,1028320.38,1818
2011-10,1103314.25,2005
2011-11,1452115.98,2751
2011-12,614490.92,816
